"","site","tag","species","dbh","height","canopy_ht","brooms","rot","Dead / Alive_v1","Dead / Alive_v2","Dead / Alive_v3","Dead / Alive_v4","Inf Location_v1","Inf Location_v2","Inf Location_v3","Inf Location_v4","Gouting_v1","Gouting_v2","Gouting_v3","Gouting_v4","Beetle_v1","Beetle_v2","Beetle_v3","Beetle_v4","NL_v1","NL_v2","NL_v3","NL_v4","NLW_v1","NLW_v2","NLW_v3","NLW_v4","NM_v1","NM_v2","NM_v3","NM_v4","NMW_v1","NMW_v2","NMW_v3","NMW_v4","NH_v1","NH_v2","NH_v3","NH_v4","NHW_v1","NHW_v2","NHW_v3","NHW_v4","SL_v1","SL_v2","SL_v3","SL_v4","SLW_v1","SLW_v2","SLW_v3","SLW_v4","SM_v1","SM_v2","SM_v3","SM_v4","SMW_v1","SMW_v2","SMW_v3","SMW_v4","SH_v1","SH_v2","SH_v3","SH_v4","SHW_v1","SHW_v2","SHW_v3","SHW_v4","Notes_v1","Notes_v2","Notes_v3","Notes_v4","Visit_v1","Visit_v2","Visit_v3","Visit_v4","WSB_v1","WSB_v2","WSB_v3","WSB_v4","infested_v1","infested_v2","infested_v3","infested_v4","new_infestation","tag_ID","Number","Tag #","Description","GeometryType","Elevation","GeoidOffset","distance","infestation_visit_1","infestation_visit_2","infestation_visit_3","infestation_visit_4","unique_ID","TARGET","DISTANCE","TARGET2","DISTANCE2","TARGET3","DISTANCE3","TARGET4","DISTANCE4","geometry.x","Latitude.focal","Longitude.focal","Latitude.target","Longitude.target","geometry.y","bearings1","Latitude.target2","Longitude.target2","geometry.x.x","bearings2","Latitude.target3","Longitude.target3","geometry.y.y","bearings3","Latitude.target4","Longitude.target4","geometry","bearings4","infestation_sum_Visit1_focal","infestation_sum_Visit2_focal","infestation_sum_Visit3_focal","infestation_sum_Visit4_focal","inf_sum_Visit1_target","inf_sum_Visit2_target","inf_sum_Visit3_target","inf_sum_Visit4_target"
"23","MTTP",25,"ABLA",1.4,1.2,1.2,0,"0",1,1,1,1,"0","0","BO","0",3,2,1,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MTTP25",2764,25,NA,"Point",2257.271,NA,0.0579321529240359,0,0,0,0,"MTTP_25_1958","MTTP_24_1957",0.690500416919317,"MTTP_24_1957",0.690500416919317,"MTTP_34_1967",11.6047068287979,"MTTP_24_1957",0.690500416919317,NA,40.43491323,-111.639127,40.43490731,-111.6391245,NA,162.115952120203,40.43490731,-111.6391245,NA,162.115952120203,40.43481469,-111.6391727,NA,-160.486945316071,40.43490731,-111.6391245,NA,162.115952120203,0,0,0,0,1,2,0,2
"24","MTTP",26,"ABLA",1.2,1.3,1.3,0,"0",1,1,1,1,"0","0","BO","BO",2,1,1,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"MTTP26",2765,26,NA,"Point",2258.888,NA,0.0580245976509058,0,0,0,1,"MTTP_26_1959","MTTP_24_1957",2.67927643089716,"MTTP_9_1942",1.76959198643761,"MTTP_34_1967",13.2207291186004,"MTTP_23_1956",1.46721660945627,NA,40.43493018,-111.6391346,40.43490731,-111.6391245,NA,161.352849435509,40.4349411,-111.6391498,NA,-46.7653700393442,40.43481469,-111.6391727,NA,-165.851595454104,40.43492211,-111.6391483,NA,-127.628384863895,0,0,0,1,1,2,0,2
"25","MTTP",27,"ABLA",8.5,56.6,0,0,"0",1,1,1,1,"BO","BO","BO","0",2,2,2,2,"0","0","0","0",0,0,0,0,"0","0","0",NA,1,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,1,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,1,0,0,0,"MTTP27",2766,27,NA,"Point",2257.143,NA,0.0611899562467056,1,1,0,0,"MTTP_27_1960","MTTP_11_1944",1.20018701387426,"MTTP_11_1944",1.20018701387426,"MTTP_34_1967",13.363795943583,"MTTP_11_1944",1.20018701387426,NA,40.43493507,-111.6391749,40.43493746,-111.6391887,NA,-77.2295341294284,40.43493746,-111.6391887,NA,-77.2295341294284,40.43481469,-111.6391727,NA,179.19994074322,40.43493746,-111.6391887,NA,-77.2295341294284,1,1,0,0,1,1,0,1
"26","MTTP",28,"ABLA",NA,7.4,NA,0,"0",1,1,1,1,"0","0","BO","0",1,1,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MTTP28",2767,28,NA,"Point",2257.063,NA,0.0577778535240335,0,0,0,0,"MTTP_28_1961","MTTP_24_1957",4.22312292074723,"MTTP_24_1957",4.22312292074723,"MTTP_34_1967",8.52869737199362,"MTTP_24_1957",4.22312292074723,NA,40.43487205,-111.6391058,40.43490731,-111.6391245,NA,-22.060025449026,40.43490731,-111.6391245,NA,-22.060025449026,40.43481469,-111.6391727,NA,-138.292485878903,40.43490731,-111.6391245,NA,-22.060025449026,0,0,0,0,1,2,0,2
"27","MTTP",29,"ABLA",NA,2.5,NA,0,"0",1,1,1,1,"0","0","0","0",2,2,1,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MTTP29",2768,29,NA,"Point",2255.579,NA,0.0600879184299711,0,0,0,0,"MTTP_29_1962","MTTP_24_1957",3.58758375444278,"MTTP_24_1957",3.58758375444278,"MTTP_34_1967",7.48896954107742,"MTTP_24_1957",3.58758375444278,NA,40.43487653,-111.6391374,40.43490731,-111.6391245,NA,17.7573099643492,40.43490731,-111.6391245,NA,17.7573099643492,40.43481469,-111.6391727,NA,-156.434184963357,40.43490731,-111.6391245,NA,17.7573099643492,0,0,0,0,1,2,0,2
"28","MTTP",30,"ABLA",8.9,43.7,0,0,"0",1,1,1,1,"0","0","0","0",2,2,1,2,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MTTP30",2769,30,NA,"Point",2257.994,NA,0.0607750830957442,0,0,0,0,"MTTP_30_1963","MTTP_34_1967",5.24140065881327,"MTTP_34_1967",5.24140065881327,"MTTP_34_1967",5.24140065881327,"MTTP_34_1967",5.24140065881327,NA,40.43485042,-111.6391323,40.43481469,-111.6391727,NA,-139.173369264512,40.43481469,-111.6391727,NA,-139.173369264512,40.43481469,-111.6391727,NA,-139.173369264512,40.43481469,-111.6391727,NA,-139.173369264512,0,0,0,0,4,3,3,4
"29","MTTP",31,"ABLA",NA,2.1,NA,0,"0",1,1,1,1,"0","0","0","0",2,2,2,2,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MTTP31",2770,31,NA,"Point",2259.915,NA,0.0654424322842993,0,0,0,0,"MTTP_31_1964","MTTP_17_1950",1.68057833972209,"MTTP_34_1967",5.88462543658714,"MTTP_34_1967",5.88462543658714,"MTTP_32_1965",0.445055883815584,NA,40.43486384,-111.6391987,40.43487849,-111.6392037,NA,-14.6166198541744,40.43481469,-111.6391727,NA,157.99084742423,40.43481469,-111.6391727,NA,157.99084742423,40.43485989,-111.6391996,NA,-170.123667550702,0,0,0,0,1,0,0,0
"30","MTTP",32,"ABLA",18.7,81.4,9.3,0,"0",1,1,1,1,"0","0","BO","BO",2,2,2,2,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"MTTP32",2771,32,NA,"Point",2257.808,NA,0.0656666738194035,0,0,0,1,"MTTP_32_1965","MTTP_17_1950",2.09373063757501,"MTTP_34_1967",5.51174185584727,"MTTP_34_1967",5.51174185584727,"MTTP_16_1949",2.22234142547859,NA,40.43485989,-111.6391996,40.43487849,-111.6392037,NA,-9.56082104925709,40.43481469,-111.6391727,NA,155.546304369441,40.43481469,-111.6391727,NA,155.546304369441,40.43487977,-111.6392027,NA,-6.79491750405504,0,0,0,1,1,0,0,0
"31","MTTP",33,"ABLA",NA,6,NA,0,"0",1,1,1,1,"0","0","0","0",3,3,2,3,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MTTP33",2772,33,NA,"Point",2257.618,NA,0.0649946439467741,0,0,0,0,"MTTP_33_1966","MTTP_34_1967",2.91922388765029,"MTTP_34_1967",2.91922388765029,"MTTP_34_1967",2.91922388765029,"MTTP_32_1965",2.70102348084325,NA,40.43484025,-111.6391808,40.43481469,-111.6391727,NA,166.387873581182,40.43481469,-111.6391727,NA,166.387873581182,40.43481469,-111.6391727,NA,166.387873581182,40.43485989,-111.6391996,NA,-36.1830260434679,0,0,0,0,4,3,3,4
"32","MTTP",34,"ABLA",24.1,89.7,0,0,"0",1,1,1,1,"BO","BO","BO","BO",2,2,2,3,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,3,3,3,3,"4-7","4-9","4–8","4-6",1,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,1,1,1,0,"MTTP34",2773,34,NA,"Point",2251.742,NA,0.0655289122149466,1,1,1,1,"MTTP_34_1967","MTTP_17_1950",7.55433006243213,"MTTP_21_1954",11.0284607207965,"MTTP_51_1982",29.9450437970438,"MTTP_32_1965",5.51174185584727,NA,40.43481469,-111.6391727,40.43487849,-111.6392037,NA,-20.3688868362147,40.43491083,-111.6391399,NA,14.6113735846009,40.43505954,-111.6390245,NA,24.820240673297,40.43485989,-111.6391996,NA,-24.4536781836813,4,3,3,4,1,0,0,0
