"","site","tag","species","dbh","height","canopy_ht","brooms","rot","Dead / Alive_v1","Dead / Alive_v2","Dead / Alive_v3","Dead / Alive_v4","Inf Location_v1","Inf Location_v2","Inf Location_v3","Inf Location_v4","Gouting_v1","Gouting_v2","Gouting_v3","Gouting_v4","Beetle_v1","Beetle_v2","Beetle_v3","Beetle_v4","NL_v1","NL_v2","NL_v3","NL_v4","NLW_v1","NLW_v2","NLW_v3","NLW_v4","NM_v1","NM_v2","NM_v3","NM_v4","NMW_v1","NMW_v2","NMW_v3","NMW_v4","NH_v1","NH_v2","NH_v3","NH_v4","NHW_v1","NHW_v2","NHW_v3","NHW_v4","SL_v1","SL_v2","SL_v3","SL_v4","SLW_v1","SLW_v2","SLW_v3","SLW_v4","SM_v1","SM_v2","SM_v3","SM_v4","SMW_v1","SMW_v2","SMW_v3","SMW_v4","SH_v1","SH_v2","SH_v3","SH_v4","SHW_v1","SHW_v2","SHW_v3","SHW_v4","Notes_v1","Notes_v2","Notes_v3","Notes_v4","Visit_v1","Visit_v2","Visit_v3","Visit_v4","WSB_v1","WSB_v2","WSB_v3","WSB_v4","infested_v1","infested_v2","infested_v3","infested_v4","new_infestation","tag_ID","Number","Tag #","Description","GeometryType","Elevation","GeoidOffset","distance","infestation_visit_1","infestation_visit_2","infestation_visit_3","infestation_visit_4","unique_ID","TARGET","DISTANCE","TARGET2","DISTANCE2","TARGET3","DISTANCE3","TARGET4","DISTANCE4","geometry.x","Latitude.focal","Longitude.focal","Latitude.target","Longitude.target","geometry.y","bearings1","Latitude.target2","Longitude.target2","geometry.x.x","bearings2","Latitude.target3","Longitude.target3","geometry.y.y","bearings3","Latitude.target4","Longitude.target4","geometry","bearings4"
"273","MOCR",5294,"ABLA",2.3,8.8,0.8,0,"0",1,1,1,1,"BO","BO","BO","BO",1,1,0,1,"0","0","0","0",1,1,2,2,"0","0","4–0","4-0",1,1,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,1,1,2,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,1,1,1,0,"MOCR5294",297,5294,NA,"Point",2536.487,NA,0.0922103462383987,1,1,1,1,"MOCR_5294_1917","MOCR_5293_1916",0.815468242176278,"MOCR_5293_1916",0.815468242176278,"MOCR_5172_1809",5.82244177695746,"MOCR_5292_1915",1.35902783973761,NA,41.40905464,-111.5339995,41.40904754,-111.533997,NA,165.153061596645,41.40904754,-111.533997,NA,165.153061596645,41.40908979,-111.5340512,NA,-47.9154013456827,41.40905682,-111.5339835,NA,79.7416988919485
"274","MOCR",5295,"ABLA",1.6,9.3,0.9,0,"0",1,1,1,1,"0","BO","0","BO",1,0,1,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,1,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,1,0,1,1,"MOCR5295",300,5295,NA,"Point",2535.444,NA,0.093098860986443,0,1,0,1,"MOCR_5295_1918","MOCR_5296_1919",1.19333133033408,"MOCR_5296_1919",1.19333133033408,"MOCR_5294_1917",1.74594736981502,"MOCR_5294_1917",1.74594736981502,NA,41.40906724,-111.534012,41.40907758,-111.5340159,NA,-15.8522561996304,41.40907758,-111.5340159,NA,-15.8522561996304,41.40905464,-111.5339995,NA,143.244869888767,41.40905464,-111.5339995,NA,143.244869888767
"275","MOCR",5296,"ABLA",3.7,22.6,0.8,0,"0",1,1,1,1,"BO","BO","BO","0",2,2,2,2,"0","0","0","0",1,1,0,0,"0","0","0",NA,1,1,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,1,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,1,0,0,0,"MOCR5296",301,5296,NA,"Point",2535.086,NA,0.0933176814532044,1,1,0,0,"MOCR_5296_1919","MOCR_5294_1917",2.8922509538589,"MOCR_5295_1918",1.19333133033408,"MOCR_5294_1917",2.8922509538589,"MOCR_5295_1918",1.19333133033408,NA,41.40907758,-111.5340159,41.40905464,-111.5339995,NA,151.710029277337,41.40906724,-111.534012,NA,164.14774122079,41.40905464,-111.5339995,NA,151.710029277337,41.40906724,-111.534012,NA,164.14774122079
"276","MOCR",5297,"ABLA",4.2,30.3,0.7,0,"0",1,1,1,1,"0","0","BO","BO",1,0,0,0,"0","0","0","0",0,1,0,1,"0","0","0",NA,0,1,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,"bifur",NA,1,2,3,4,NA,NA,NA,NA,0,1,0,1,1,"MOCR5297",308,5297,NA,"Point",2533.738,NA,0.0903037489097937,0,1,0,1,"MOCR_5297_1920","MOCR_5182_1819",1.70140876028996,"MOCR_5182_1819",1.70140876028996,"MOCR_5188_1825",5.35530097176184,"MOCR_5182_1819",1.70140876028996,NA,41.4091174,-111.533983,41.40913209,-111.5339772,NA,16.554299641344,41.40913209,-111.5339772,NA,16.554299641344,41.40913741,-111.5339247,NA,65.4916854223115,41.40913209,-111.5339772,NA,16.554299641344
"277","MOCR",5298,"ABLA",3.5,28.6,0.7,0,"0",1,1,1,1,"BO","BO","BO","BO",1,1,0,1,"0","0","0","0",0,1,0,1,"0","0","0",NA,1,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,"-11-",NA,1,2,3,4,NA,NA,NA,NA,1,1,0,1,0,"MOCR5298",NA,5298,NA,"Point",2533.738,NA,0.0903037489097937,1,1,0,1,"MOCR_5298_1921","MOCR_5182_1819",1.70140876028996,"MOCR_5182_1819",1.70140876028996,"MOCR_5188_1825",5.35530097176184,"MOCR_5182_1819",1.70140876028996,NA,41.4091174,-111.533983,41.40913209,-111.5339772,NA,16.554299641344,41.40913209,-111.5339772,NA,16.554299641344,41.40913741,-111.5339247,NA,65.4916854223115,41.40913209,-111.5339772,NA,16.554299641344
"278","MOCR",5299,"ABLA",NA,5.9,NA,0,"0",1,1,1,1,"BO","0","BO","0",1,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,1,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,0,0,0,0,"MOCR5299",NA,5299,NA,"Point",2533.738,NA,0.0903037489097937,1,0,0,0,"MOCR_5299_1922","MOCR_5182_1819",1.70140876028996,"MOCR_5182_1819",1.70140876028996,"MOCR_5188_1825",5.35530097176184,"MOCR_5182_1819",1.70140876028996,NA,41.4091174,-111.533983,41.40913209,-111.5339772,NA,16.554299641344,41.40913209,-111.5339772,NA,16.554299641344,41.40913741,-111.5339247,NA,65.4916854223115,41.40913209,-111.5339772,NA,16.554299641344
"279","MOCR",5300,"ABLA",1.2,9.1,2.7,0,"0",1,1,1,1,"0","0","0","0",1,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MOCR5300",309,5300,NA,"Point",2535.047,NA,0.0905193754799222,0,0,0,0,"MOCR_5300_1923","MOCR_5298_1921",0.542656418206002,"MOCR_5297_1920",0.542656418206002,"MOCR_5188_1825",5.39250989078421,"MOCR_5297_1920",0.542656418206002,NA,41.40912181,-111.5339858,41.4091174,-111.533983,NA,154.452226464505,41.4091174,-111.533983,NA,154.452226464505,41.40913741,-111.5339247,NA,71.2662667222471,41.4091174,-111.533983,NA,154.452226464505
"280","MOCR",5301,"ABLA",1.8,14.1,2.5,0,"0",1,1,1,1,"0","0","0","0",1,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MOCR5301",NA,5301,NA,"Point",2535.047,NA,0.0905193754799222,0,0,0,0,"MOCR_5301_1924","MOCR_5298_1921",0.542656418206002,"MOCR_5297_1920",0.542656418206002,"MOCR_5188_1825",5.39250989078421,"MOCR_5297_1920",0.542656418206002,NA,41.40912181,-111.5339858,41.4091174,-111.533983,NA,154.452226464505,41.4091174,-111.533983,NA,154.452226464505,41.40913741,-111.5339247,NA,71.2662667222471,41.4091174,-111.533983,NA,154.452226464505
"281","MOCR",5302,"ABLA",2.2,12.1,1.6,0,"0",1,1,1,1,"0","0","0","BO",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,1,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,0,0,1,0,"MOCR5302",310,5302,NA,"Point",2538.079,NA,0.0922042341410515,1,0,0,1,"MOCR_5302_1925","MOCR_5307_1930",0.36456195236282,"MOCR_5297_1920",2.36016405470313,"MOCR_5172_1809",5.7819876827151,"MOCR_5307_1930",0.36456195236282,NA,41.40912941,-111.5340063,41.4091263,-111.5340077,NA,-161.278321001757,41.4091174,-111.533983,NA,124.398134330871,41.40908979,-111.5340512,NA,-139.529889581352,41.4091263,-111.5340077,NA,-161.278321001757
"282","MOCR",5303,"ABLA",1.2,7.6,2,0,"0",1,1,1,1,"0","0","BO","BO",1,0,1,0,"0","0","0","0",0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area/ trifur","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"MOCR5303",311,5303,NA,"Point",2535.362,NA,0.0935141240096975,0,0,0,1,"MOCR_5303_1926","MOCR_5296_1919",2.50305799790441,"MOCR_5296_1919",2.50305799790441,"MOCR_5172_1809",2.80702837026704,"MOCR_5172_1809",2.80702837026704,NA,41.40909987,-111.5340204,41.40907758,-111.5340159,NA,171.357842786581,41.40907758,-111.5340159,NA,171.357842786581,41.40908979,-111.5340512,NA,-113.495157291789,41.40908979,-111.5340512,NA,-113.495157291789
"283","MOCR",5304,"ABLA",3.7,25.5,2,0,"0",1,1,1,1,"0","0","BO","BO",1,1,1,1,"0","0","0","0",0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area/ -11-","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"MOCR5304",NA,5304,NA,"Point",2535.362,NA,0.0935141240096975,0,0,0,1,"MOCR_5304_1927","MOCR_5296_1919",2.50305799790441,"MOCR_5296_1919",2.50305799790441,"MOCR_5172_1809",2.80702837026704,"MOCR_5172_1809",2.80702837026704,NA,41.40909987,-111.5340204,41.40907758,-111.5340159,NA,171.357842786581,41.40907758,-111.5340159,NA,171.357842786581,41.40908979,-111.5340512,NA,-113.495157291789,41.40908979,-111.5340512,NA,-113.495157291789
