site,tag,species,dbh,height,canopy_ht,brooms,rot,Dead / Alive_v1,Dead / Alive_v2,Dead / Alive_v3,Dead / Alive_v4,Inf Location_v1,Inf Location_v2,Inf Location_v3,Inf Location_v4,Gouting_v1,Gouting_v2,Gouting_v3,Gouting_v4,Beetle_v1,Beetle_v2,Beetle_v3,Beetle_v4,NL_v1,NL_v2,NL_v3,NL_v4,NLW_v1,NLW_v2,NLW_v3,NLW_v4,NM_v1,NM_v2,NM_v3,NM_v4,NMW_v1,NMW_v2,NMW_v3,NMW_v4,NH_v1,NH_v2,NH_v3,NH_v4,NHW_v1,NHW_v2,NHW_v3,NHW_v4,SL_v1,SL_v2,SL_v3,SL_v4,SLW_v1,SLW_v2,SLW_v3,SLW_v4,SM_v1,SM_v2,SM_v3,SM_v4,SMW_v1,SMW_v2,SMW_v3,SMW_v4,SH_v1,SH_v2,SH_v3,SH_v4,SHW_v1,SHW_v2,SHW_v3,SHW_v4,Notes_v1,Notes_v2,Notes_v3,Notes_v4,WSB_v1,WSB_v2,WSB_v3,WSB_v4,infested_v1,infested_v2,infested_v3,infested_v4,new_infestation,tag_ID,unique_ID,Number,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset,distance,tagID
CXSP,904,ABLA,4.3,24.5,0,1,0,1,1,1,1,"BR, BO","BR, BO","BR, BO","BR, BO",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1-1,1,1,2,2,0,0,0,1-1,1,1,2,2,0,0,0,3-4,1,1,1,2,0,0,0,,0,1,2,2,0,2-1,2–1,2-2,0,1,1,2,0,0,0,,1DB,1DB,1DB,1DB,,,,,1,1,1,1,0,ABLA904,CXSPABLA904,2960,,Point,41.64143346,-111.4922605,2241.335,-16.903,0.056093482,CXSPABLA904
CXSP,911,ABLA,23.3,66.6,14.4,2,0,1,1,1,1,"BR, BO","BR, BO","BR, BO","BR, BO",0,0,0,0,0,0,0,0,2,2,2,2,1-3,1-2,1–15,1-15,2,2,2,2,2-18,2-17,2–17,2-13,2,2,2,2,1-0,1-0,1–0,1-0,2,2,2,2,4-5,4-7,4–8,4-9,2,2,2,2,3-0,3-1,31,3-1,2,2,2,2,2-0,2-0,2–0,2-0,1DB,1DB,1DB,1DB,,,,,1,1,1,1,0,ABLA911,CXSPABLA911,5333,,Point,41.64146649,-111.4922519,2242.987,-16.903,0.0564196,CXSPABLA911
CXSP,912,ABLA,,5.6,0,3,0,1,1,1,1,0,0,0,0,1,0,0,0,BIB,BIB,BIB,BIB,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,1DB,1DB,1DB,1DB,,,,,0,0,0,0,0,ABLA912,CXSPABLA912,2962,,Point,41.64143229,-111.4922357,2237.516,-16.903,0.054064805,CXSPABLA912
CXSP,913,ABLA,1.3,13.7,7.6,0,0,1,1,1,1,0,BO,BO,BO,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,0,1,1,1,1,ABLA913,CXSPABLA913,2963,,Point,41.64147324,-111.4922365,2243.737,-16.903,0.055448464,CXSPABLA913
CXSP,914,ABLA,1.3,10.1,3.9,0,0,1,1,1,1,0,0,0,BO,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,1,1,ABLA914,CXSPABLA914,2964,,Point,41.64147443,-111.4922362,2243.756,-16.903,0.055468384,CXSPABLA914
CXSP,915,ABLA,2.8,19.4,6.6,0,0,1,1,1,1,BO,BO,"BR, BO","BR, BO",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA915,CXSPABLA915,2965,,Point,41.64147776,-111.4922724,2244.128,-16.903,0.058433991,CXSPABLA915
CXSP,916,ABLA,1.9,14.5,4,0,0,1,1,1,1,BO,BO,BO,BO,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,,1,1,1,2,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,1,1,1,2,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA916,CXSPABLA916,2966,,Point,41.64149067,-111.4922901,2242.133,-16.903,0.06029271,CXSPABLA916
CXSP,5260,ABLA,1,7.9,1.8,0,0,1,1,1,1,BO,BO,"BR, BO","BR, BO",0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,,1,1,1,2,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,1,1,1,2,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA5260,CXSPABLA5260,5337,,Point,41.64147637,-111.4923011,2245.988,-16.903,0.060649446,CXSPABLA5260
CXSP,917,ABLA,1.1,9.2,4.9,0,0,1,1,1,1,0,0,0,BO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,1,1,ABLA917,CXSPABLA917,2967,,Point,41.6414884,-111.4922758,2241.199,-16.903,0.059088421,CXSPABLA917
CXSP,918,ABLA,1.9,15,6,0,0,1,1,1,1,BO,BO,BO,BO,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,1,1,1,1,0,0,0,,0,0,0,1,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA918,CXSPABLA918,2968,,Point,41.64148684,-111.4922825,2244.165,-16.903,0.05955566,CXSPABLA918
CXSP,919,ABLA,2.5,17.7,3.4,0,0,1,1,1,1,BO,BO,BO,BO,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,,1,1,2,2,0,0,0,,0,0,0,1,0,0,0,,0,0,1,2,0,0,0,,0,0,1,2,0,0,0,,0,0,1,0,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA919,CXSPABLA919,2969,,Point,41.64149519,-111.492301,2244.819,-16.903,0.061314425,CXSPABLA919
CXSP,920,ABLA,1.7,9.6,0.7,0,0,1,1,1,1,0,0,BO,BO,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,1,2,0,0,0,,0,0,1,1,0,0,0,,0,0,0,2,0,0,0,,,,,,,,,,0,0,1,1,1,ABLA920,CXSPABLA920,2970,,Point,41.64148801,-111.4922961,2243.768,-16.903,0.060665886,CXSPABLA920
CXSP,921,ABLA,6.2,38.7,8.4,0,0,1,1,1,1,"BR, BO","BR, BO","BR, BO","BR, BO",2,2,,,0,0,0,0,4,4,4,4,1-7,1-8,1–9,1-26,3,3,3,3,1-16,1-14,1–16,1-20,2,2,2,2,3-11,3-13,3–15,3-15,4,4,4,4,2-18,2-19,2–23,2-18,3,3,3,3,2-11,2-11,2–13,2-13,3,3,3,3,4-3,4-2,4–1,4-1,,,,,,,,,1,1,1,1,0,ABLA921,CXSPABLA921,2971,,Point,41.6415071,-111.4922775,2242.923,-16.903,0.059950033,CXSPABLA921
