"","site","tag","species","dbh","height","canopy_ht","brooms","rot","Dead / Alive_v1","Dead / Alive_v2","Dead / Alive_v3","Dead / Alive_v4","Inf Location_v1","Inf Location_v2","Inf Location_v3","Inf Location_v4","Gouting_v1","Gouting_v2","Gouting_v3","Gouting_v4","Beetle_v1","Beetle_v2","Beetle_v3","Beetle_v4","NL_v1","NL_v2","NL_v3","NL_v4","NLW_v1","NLW_v2","NLW_v3","NLW_v4","NM_v1","NM_v2","NM_v3","NM_v4","NMW_v1","NMW_v2","NMW_v3","NMW_v4","NH_v1","NH_v2","NH_v3","NH_v4","NHW_v1","NHW_v2","NHW_v3","NHW_v4","SL_v1","SL_v2","SL_v3","SL_v4","SLW_v1","SLW_v2","SLW_v3","SLW_v4","SM_v1","SM_v2","SM_v3","SM_v4","SMW_v1","SMW_v2","SMW_v3","SMW_v4","SH_v1","SH_v2","SH_v3","SH_v4","SHW_v1","SHW_v2","SHW_v3","SHW_v4","Notes_v1","Notes_v2","Notes_v3","Notes_v4","Visit_v1","Visit_v2","Visit_v3","Visit_v4","WSB_v1","WSB_v2","WSB_v3","WSB_v4","infested_v1","infested_v2","infested_v3","infested_v4","new_infestation","tag_ID","Number","Tag #","Description","GeometryType","Elevation","GeoidOffset","distance","infestation_visit_1","infestation_visit_2","infestation_visit_3","infestation_visit_4","unique_ID","TARGET","DISTANCE","TARGET2","DISTANCE2","TARGET3","DISTANCE3","TARGET4","DISTANCE4","geometry.x","Latitude.focal","Longitude.focal","Latitude.target","Longitude.target","geometry.y","bearings1","Latitude.target2","Longitude.target2","geometry.x.x","bearings2","Latitude.target3","Longitude.target3","geometry.y.y","bearings3","Latitude.target4","Longitude.target4","geometry","bearings4","infestation_sum_Visit1_focal","infestation_sum_Visit2_focal","infestation_sum_Visit3_focal","infestation_sum_Visit4_focal","inf_sum_Visit1_target","inf_sum_Visit2_target","inf_sum_Visit3_target","inf_sum_Visit4_target"
"456","FRNK",7174,"ABLA",NA,7.7,NA,1,"0",1,1,1,1,"0","0","0","BO",NA,NA,0,0,"0","0","2","2",0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"FRNK7174",1139,7174,NA,"Point",2053.964,NA,0.0502135776842662,0,0,0,1,"FRNK_7174_1512","FRNK_7178_1516",1.77750591217039,"FRNK_7178_1516",1.77750591217039,"FRNK_7184_1522",2.06073178131315,"FRNK_7177_1515",1.49508928391178,NA,41.93360544,-111.5713023,41.9336185,-111.5712899,NA,35.3350863685783,41.9336185,-111.5712899,NA,35.3350863685783,41.93359183,-111.5712854,NA,137.163441450405,41.933615,-111.5712896,NA,44.7683756397356,0,0,0,3,1,2,0,6
"457","FRNK",7175,"ABLA",NA,6.8,NA,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7175",1140,7175,NA,"Point",2054.317,NA,0.0488379370841543,0,0,0,0,"FRNK_7175_1513","FRNK_7184_1522",1.66195289006206,"FRNK_7184_1522",1.66195289006206,"FRNK_7184_1522",1.66195289006206,"FRNK_7184_1522",1.66195289006206,NA,41.93358906,-111.5713051,41.93359183,-111.5712854,NA,79.3355787909393,41.93359183,-111.5712854,NA,79.3355787909393,41.93359183,-111.5712854,NA,79.3355787909393,41.93359183,-111.5712854,NA,79.3355787909393,0,0,0,0,2,3,2,9
"458","FRNK",7176,"ABLA",2.2,10.4,6.1,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Bent, Rot in area","Bent, Rot in area","Bent, Rot in area","Bent, Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7176",1141,7176,NA,"Point",2053.319,NA,0.0482730552938104,0,0,0,0,"FRNK_7176_1514","FRNK_7184_1522",1.3487852912503,"FRNK_7184_1522",1.3487852912503,"FRNK_7184_1522",1.3487852912503,"FRNK_7184_1522",1.3487852912503,NA,41.93358577,-111.5712995,41.93359183,-111.5712854,NA,60.0758494279803,41.93359183,-111.5712854,NA,60.0758494279803,41.93359183,-111.5712854,NA,60.0758494279803,41.93359183,-111.5712854,NA,60.0758494279803,0,0,0,0,2,3,2,9
"459","FRNK",7177,"ABLA",1.1,9.1,0,0,"0",1,1,1,1,"0","0","0","BO",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"FRNK7177",1142,7177,NA,"Point",2052.418,NA,0.0505406093563687,0,0,0,1,"FRNK_7177_1515","FRNK_7178_1516",0.389402324069281,"FRNK_7178_1516",0.389402324069281,"FRNK_7184_1522",2.59603797657251,"FRNK_7178_1516",0.389402324069281,NA,41.933615,-111.5712896,41.9336185,-111.5712899,NA,-3.66207019295134,41.9336185,-111.5712899,NA,-3.66207019295134,41.93359183,-111.5712854,NA,172.29171903111,41.9336185,-111.5712899,NA,-3.66207019295134,0,0,0,2,1,2,0,6
"460","FRNK",7178,"ABLA",1.1,9.3,0,0,"0",1,1,1,1,"BR","BR","BO","BO",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,1,1,0,2,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,1,0,2,"0","0","0",NA,0,0,0,1,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,1,0,1,0,"FRNK7178",1143,7178,NA,"Point",2052.883,NA,0.0508845562820415,1,1,0,1,"FRNK_7178_1516","FRNK_7184_1522",2.98459618126106,"FRNK_7184_1522",2.98459618126106,"FRNK_7184_1522",2.98459618126106,"FRNK_7177_1515",0.389402324069281,NA,41.9336185,-111.5712899,41.93359183,-111.5712854,NA,172.819199506434,41.93359183,-111.5712854,NA,172.819199506434,41.93359183,-111.5712854,NA,172.819199506434,41.933615,-111.5712896,NA,176.337929606568,1,2,0,6,2,3,2,9
"461","FRNK",7179,"ABLA",1.5,10.7,1.2,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7179",1144,7179,NA,"Point",2052.053,NA,0.048034589822736,0,0,0,0,"FRNK_7179_1517","FRNK_5861_1321",1.56507831021102,"FRNK_5861_1321",1.56507831021102,"FRNK_7184_1522",1.63682614136945,"FRNK_5861_1321",1.56507831021102,NA,41.93359851,-111.5712678,41.93358457,-111.571265,NA,171.470259919713,41.93358457,-111.571265,NA,171.470259919713,41.93359183,-111.5712854,NA,-116.944264771743,41.93358457,-111.571265,NA,171.470259919713,0,0,0,0,1,2,0,3
"462","FRNK",7180,"ABLA",1.4,10.2,3.9,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7180",1145,7180,NA,"Point",2053.914,NA,0.0475169325340474,0,0,0,0,"FRNK_7180_1518","FRNK_7184_1522",0.733242292572807,"FRNK_7184_1522",0.733242292572807,"FRNK_7184_1522",0.733242292572807,"FRNK_7184_1522",0.733242292572807,NA,41.93358833,-111.5712779,41.93359183,-111.5712854,NA,-57.9955753153696,41.93359183,-111.5712854,NA,-57.9955753153696,41.93359183,-111.5712854,NA,-57.9955753153696,41.93359183,-111.5712854,NA,-57.9955753153696,0,0,0,0,2,3,2,9
"463","FRNK",7181,"ABLA",NA,6.3,NA,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7181",1146,7181,NA,"Point",2053.153,NA,0.047410421865698,0,0,0,0,"FRNK_7181_1519","FRNK_5861_1321",0.823098969949529,"FRNK_5861_1321",0.823098969949529,"FRNK_7184_1522",1.18852483561415,"FRNK_5861_1321",0.823098969949529,NA,41.93359036,-111.5712712,41.93358457,-111.571265,NA,141.355239663858,41.93358457,-111.571265,NA,141.355239663858,41.93359183,-111.5712854,NA,-82.1068686788774,41.93358457,-111.571265,NA,141.355239663858,0,0,0,0,1,2,0,3
"464","FRNK",7182,"ABLA",1.2,10,4.4,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7182",1147,7182,NA,"Point",2052.999,NA,0.0469720507868914,0,0,0,0,"FRNK_7182_1520","FRNK_5861_1321",1.03893034389395,"FRNK_5861_1321",1.03893034389395,"FRNK_7184_1522",1.20857001227572,"FRNK_5861_1321",1.03893034389395,NA,41.93358278,-111.5712773,41.93358457,-111.571265,NA,78.9714784317302,41.93358457,-111.571265,NA,78.9714784317302,41.93359183,-111.5712854,NA,-33.7552899227692,41.93358457,-111.571265,NA,78.9714784317302,0,0,0,0,1,2,0,3
"465","FRNK",7183,"ABLA",NA,6.2,NA,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7183",1148,7183,NA,"Point",2052.485,NA,0.0471820038209513,0,0,0,0,"FRNK_7183_1521","FRNK_7184_1522",1.26743921924216,"FRNK_7184_1522",1.26743921924216,"FRNK_7184_1522",1.26743921924216,"FRNK_7187_1524",1.24626957301062,NA,41.93358045,-111.5712866,41.93359183,-111.5712854,NA,4.50204148991506,41.93359183,-111.5712854,NA,4.50204148991506,41.93359183,-111.5712854,NA,4.50204148991506,41.93356959,-111.5712904,NA,-165.357409910543,0,0,0,0,2,3,2,9
