Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
4442,potr161,"",Point,40.5453665018333,-111.029678173833,2647.143,-16.585
4441,potr159,"",Point,40.5453730425,-111.029664876833,2647.016,-16.585
4440,potr158,"",Point,40.5453769156667,-111.029664446,2646.146,-16.585
4439,potr157,"",Point,40.5453829075,-111.029662784167,2647.099,-16.585
4438,potr156,"",Point,40.5454100586667,-111.0296449955,2653.804,-16.585
4437,psmeg5,"",Point,40.5454016715,-111.029582912167,2656.624,-16.585
4436,potr155,"",Point,40.5455061763333,-111.029530846667,2653.441,-16.585
4435,potr154,"",Point,40.5455392215,-111.029493604,2648.132,-16.585
4434,potr153,"",Point,40.5455379593333,-111.029490052333,2647.883,-16.585
4433,potr152,"",Point,40.5455190485,-111.029523718333,2655.791,-16.585
4432,potr151,"",Point,40.5455332901667,-111.029535696667,2654.66,-16.585
4430,potr150,"",Point,40.5455354733333,-111.0295028475,2648.725,-16.585
4429,potr148,"",Point,40.5455383585,-111.029508321333,2645.755,-16.585
4428,potr149,"",Point,40.5455352693333,-111.0295051205,2646.907,-16.585
4426,potr147,"",Point,40.5455275258333,-111.029538574667,2652.168,-16.585
4425,potr146,"",Point,40.5455257451667,-111.029557321833,2653.004,-16.585
4424,potr145,"",Point,40.545569376,-111.0295380075,2649.17,-16.585
4423,potr144,"",Point,40.5455566763333,-111.029580589667,2657.082,-16.585
4422,potr143,"",Point,40.5455490515,-111.029583772333,2655.477,-16.585
4421,potr142,"",Point,40.5455403865,-111.0295718945,2654.707,-16.585
4420,potr141,"",Point,40.5455431528333,-111.029568626167,2653.591,-16.585
4417,potr140,"",Point,40.5455366921667,-111.029564039,2653.37,-16.585
4416,potr139,"",Point,40.5455392511667,-111.0295749125,2650.783,-16.585
4415,potr138,"",Point,40.5455349786667,-111.029585673667,2656.289,-16.585
4414,potr137,"",Point,40.5454963845,-111.029580357333,2651.828,-16.585
4413,potr136,"",Point,40.5455169428333,-111.029640858833,2648.335,-16.585
4412,potr135,"",Point,40.5455270668333,-111.0296841585,2652.269,-16.585
4411,potr134,"",Point,40.5455656435,-111.029657041667,2651.762,-16.585
4410,potr133,"",Point,40.5455764743333,-111.029678446,2650.602,-16.585
4409,potr132,"",Point,40.5456509613333,-111.0296704625,2653.436,-16.585
4408,potr131,"",Point,40.5456487871667,-111.0296680155,2654.66,-16.585
4407,potr129,"",Point,40.5456355248333,-111.029619722,2651.049,-16.585
4406,potr130,"",Point,40.5456407488333,-111.029622075333,2651.333,-16.585
4405,potr128,"",Point,40.5455837846667,-111.029520920167,2659.195,-16.585
4404,potr127,"",Point,40.5456578523333,-111.029523414167,2659.49,-16.585
4403,potr126,"",Point,40.5456481203333,-111.029490743167,2659.241,-16.585
4402,potr125,"",Point,40.5457337898333,-111.029541511,2658.677,-16.585
4401,potr124,"",Point,40.5457545388333,-111.029527907833,2657.694,-16.585
4400,potr123,"",Point,40.5457559731667,-111.029533045,2657.538,-16.585
4399,potr122,"",Point,40.5457573056667,-111.029492529667,2659.448,-16.585
4398,potr121,"",Point,40.5457788815,-111.029502407,2658.795,-16.585
4397,potr120,"",Point,40.5457565898333,-111.029516294333,2658.474,-16.585
4396,potr119,"",Point,40.5457723345,-111.029543017167,2653.893,-16.585
4394,potr118,"",Point,40.5457729843333,-111.029542721167,2657.296,-16.585
4393,potr117,"",Point,40.54578395,-111.029582751333,2656.844,-16.585
4392,potr116,"",Point,40.545790492,-111.029586537333,2655.521,-16.585
4391,potr115,"",Point,40.5457498713333,-111.0295878735,2656.516,-16.585
4390,potr114,"",Point,40.5457096828333,-111.029605561833,2653.989,-16.585
4389,potr113,"",Point,40.5457250763333,-111.029606383167,2654.936,-16.585
4388,potr112,"",Point,40.5457053456667,-111.029619789833,2652.705,-16.585
4387,potr111,"",Point,40.5457224083333,-111.029640503667,2654.792,-16.585
4386,potr110,"",Point,40.545760339,-111.029641969167,2651.198,-16.585
4385,potr109,"",Point,40.5457618603333,-111.029624366667,2652.993,-16.585
4384,potr108,"",Point,40.5457773466667,-111.029639223833,2654.267,-16.585
4383,potr107,"",Point,40.5457889843333,-111.029689285167,2650.376,-16.585
4382,potr106,"",Point,40.5457782406667,-111.029685671833,2648.418,-16.585
4381,potr105,"",Point,40.5457652178333,-111.029691663,2650.488,-16.585
4380,potr104,"",Point,40.5457641113333,-111.029657541167,2651.729,-16.585
4379,potr103,"",Point,40.5457557983333,-111.029661130333,2652.942,-16.585
4378,potr102,"",Point,40.5457245338333,-111.029651029,2653.259,-16.585
4377,potr101,"",Point,40.54571256,-111.029706165667,2651.367,-16.585
4376,Potr100,"",Point,40.5457056486667,-111.029699127,2650.578,-16.585
4375,potr98,"",Point,40.545673719,-111.029678614167,2651.704,-16.585
4374,potr97,"",Point,40.5456445321667,-111.029679643333,2652.443,-16.585
4373,potr99,"",Point,40.5456863838333,-111.029695147333,2649.142,-16.585
4372,potr96,"",Point,40.545647836,-111.029685283833,2642.837,-16.585
4371,potr95,"",Point,40.545643277,-111.029670193,2648.363,-16.585
4370,potr94,"",Point,40.5455578325,-111.029689776667,2655.487,-16.585
4369,potr93,"",Point,40.5455047375,-111.029686381,2646.069,-16.585
4368,potr92,"",Point,40.5454986666667,-111.029718604667,2651.38,-16.585
4367,potr91,"",Point,40.5455121433333,-111.029701627,2649.802,-16.585
4366,potr90,"",Point,40.545473334,-111.029709869,2646.775,-16.585
4365,potr89,"",Point,40.5454664943333,-111.029708883,2648.988,-16.585
4364,potr87,"",Point,40.5453561508333,-111.029692834333,2649.917,-16.585
4363,potr86,"",Point,40.5453485763333,-111.029696388,2651.241,-16.585
4362,potr85,"",Point,40.5453542405,-111.029685053167,2647.173,-16.585
4361,potr84,"",Point,40.5453624491667,-111.029695003,2647.514,-16.585
4360,potr83,"",Point,40.5453606753333,-111.029705052333,2647.187,-16.585
4359,potr88,"",Point,40.5453770078333,-111.0296645445,2655.563,-16.585
4358,potr82,"",Point,40.5453630418333,-111.029722092833,2647.896,-16.585
4357,potr81,"",Point,40.5455051485,-111.029799459167,2647.664,-16.585
4356,potr80,"",Point,40.5455256588333,-111.02979958,2645.954,-16.585
4355,potr79,"",Point,40.5455257121667,-111.029800125333,2650.773,-16.585
4354,psmeg3,"",Point,40.5456641213333,-111.0297444865,2652.798,-16.585
4353,potr78,"",Point,40.5457115923333,-111.0297451355,2654.359,-16.585
4352,potr77,"",Point,40.5457256226667,-111.029737274667,2648.633,-16.585
4351,potr76,"",Point,40.5457314785,-111.029771281333,2646.7,-16.585
4350,potr75,"",Point,40.545729024,-111.029772445833,2647.618,-16.585
4349,potr74,"",Point,40.5456982978333,-111.0298318685,2659.109,-16.585
4348,potr73,"",Point,40.5457161715,-111.029779385667,2655.473,-16.585
4347,potr72,"",Point,40.5457462645,-111.0297301115,2645.774,-16.585
4346,potr71,"",Point,40.5457505461667,-111.029734096333,2646.657,-16.585
4345,potr70,"",Point,40.5457986706667,-111.029742027,2648.927,-16.585
4344,potr69,"",Point,40.5457926655,-111.029708783333,2643.351,-16.585
4343,potr68,"",Point,40.5457661003333,-111.029719286667,2649.412,-16.585
4342,potr67,"",Point,40.5457519236667,-111.029725686167,2649.536,-16.585
4341,potr66,"",Point,40.5457435915,-111.029739003333,2653.315,-16.585
4340,potr65,"",Point,40.5457688315,-111.029745638833,2650.977,-16.585
4339,potr64,"",Point,40.5458076748333,-111.029796356833,2648.521,-16.585
4338,potr63,"",Point,40.5457544893333,-111.029784314167,2649.868,-16.585
