source,Site ID_Visit1,Tag #_Visit1,Species_Visit1,DBH_Visit1,Height_Visit1,Canopy Height_Visit1,Dead / Alive_Visit1,Inf Location_Visit1,Gouting_Visit1,Broom (#)_Visit1,Beetle_Visit1,Rot_Visit1,NL_Visit1,NLW_Visit1,NM_Visit1,NMW_Visit1,NH_Visit1,NHW_Visit1,SL_Visit1,SLW_Visit1,SM_Visit1,SMW_Visit1,SH_Visit1,SHW_Visit1,Notes_Visit1,Visit_Visit1,tag_ID,Latitude.focal,Longitude.focal,Site ID_Visit2,Tag #_Visit2,Species_Visit2,DBH_Visit2,Height_Visit2,Canopy Height_Visit2,Dead / Alive_Visit2,Inf Location_Visit2,Gouting_Visit2,Broom (#)_Visit2,Beetle_Visit2,Rot_Visit2,NL_Visit2,NLW_Visit2,NM_Visit2,NMW_Visit2,NH_Visit2,NHW_Visit2,SL_Visit2,SLW_Visit2,SM_Visit2,SMW_Visit2,SH_Visit2,SHW_Visit2,Notes_Visit2,Visit_Visit2,ChangeInVariable,Number,Tag #,Description,GeometryType,Elevation,GeoidOffset,distance,unique_ID,TARGET,DISTANCE,TARGET2,DISTANCE2,geometry.x,Latitude.target,Longitude.target,geometry.y,bearings1,Latitude.target2,Longitude.target2,geometry,bearings2,infestation_sum_Visit1_focal,infestation_sum_Visit2_focal,inf_sum_Visit1_target,inf_sum_Visit2_target
2,EMIG,756,ABLA,NA,1.6,0,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,1,EMIG756,42.37414737,-111.5536398,EMIG,756,ABLA,NA,1.6,0,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,2,0,2493,756,NA,Point,2219.412,NA,0.170277984,EMIG_756_527,EMIG_770_539,1.430774241,EMIG_770_539,1.430774241,NA,42.37413805,-111.5536278,NA,136.3278453,42.37413805,-111.5536278,NA,136.3278453,0,0,6,7
2,EMIG,759,ABLA,NA,3.5,0,1,0,NA,2,-,-,0,-,0,-,0,-,0,-,0,-,0,-,"WOB, 1 DB",1,EMIG759,42.37413994,-111.5536626,EMIG,759,ABLA,NA,3.5,0,1,0,NA,2,-,-,0,-,0,-,0,-,0,-,0,-,0,-,"WOB, 1 DB",2,0,2496,759,NA,Point,2223.576,NA,0.169214533,EMIG_759_528,EMIG_778_546,0.910730262,EMIG_761_530,0.799440545,NA,42.37413186,-111.5536645,NA,-170.1094929,42.37414624,-111.5536673,NA,-28.94984386,0,0,1,1
2,EMIG,760,ABLA,2.7,9.1,0,1,1,NA,0,-,-,1,-,2,1-Feb,1,-,1,-,2,-,0,-,NA,1,EMIG760,42.37413963,-111.5536744,EMIG,760,ABLA,2.7,9.1,0,1,1,NA,0,-,-,1,-,2,1-Feb,1,-,0,-,2,1-Feb,0,-,NA,2,0,2497,760,NA,Point,2223.544,NA,0.168443282,EMIG_760_529,EMIG_778_546,1.186910564,EMIG_761_530,0.938308202,NA,42.37413186,-111.5536645,NA,136.6276556,42.37414624,-111.5536673,NA,38.53530804,7,6,1,1
2,EMIG,761,ABLA,1.6,6.5,0,1,0,NA,1,-,-,0,-,0,-,0,-,0,-,0,-,0,-,1 DB,1,EMIG761,42.37414624,-111.5536673,EMIG,761,ABLA,1.6,6.5,0,1,1,NA,1,-,-,0,-,0,-,0,-,0,-,1,-,0,-,1 DB,2,1,2498,761,NA,Point,2222.59,NA,0.168495637,EMIG_761_530,EMIG_760_529,0.938308202,EMIG_760_529,0.938308202,NA,42.37413963,-111.5536744,NA,-141.4646872,42.37413963,-111.5536744,NA,-141.4646872,0,1,7,6
2,EMIG,762,ABLA,NA,5.1,0,1,0,NA,1,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,1,EMIG762,42.374126,-111.5536934,EMIG,762,ABLA,NA,5.1,0,1,1,NA,1,-,-,1,-,0,-,0,-,0,-,0,-,0,-,NA,2,1,2499,762,NA,Point,2221.97,NA,0.168062373,EMIG_762_531,EMIG_760_529,2.176619735,EMIG_763_532,1.224812605,NA,42.37413963,-111.5536744,NA,45.94676514,42.37412227,-111.5536794,NA,109.7644431,0,1,7,6
2,EMIG,763,ABLA,7,46.8,0,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,1,EMIG763,42.37412227,-111.5536794,EMIG,763,ABLA,7,46.8,0,1,1,NA,0,-,-,0,-,0,-,0,-,1,-,0,-,0,-,NA,2,1,2500,763,NA,Point,2219.707,NA,0.169236185,EMIG_763_532,EMIG_778_546,1.624460853,EMIG_762_531,1.224812605,NA,42.37413186,-111.5536645,NA,49.04104144,42.374126,-111.5536934,NA,-70.23554751,0,1,1,1
2,EMIG,764,ABLA,1.1,7,0,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,1,EMIG764,42.37412571,-111.5536694,EMIG,764,ABLA,1.1,7,0,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,2,0,2501,764,NA,Point,2219.627,NA,0.169677685,EMIG_764_533,EMIG_778_546,0.793154919,EMIG_778_546,0.793154919,NA,42.37413186,-111.5536645,NA,30.57333175,42.37413186,-111.5536645,NA,30.57333175,0,0,1,1
2,EMIG,765,ABLA,2.6,13.9,3.4,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,1,EMIG765,42.37411367,-111.5536538,EMIG,765,ABLA,2.6,13.9,3.4,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,2,0,2502,765,NA,Point,2219.512,NA,0.171500159,EMIG_765_534,EMIG_773_542,1.888381968,EMIG_773_542,1.888381968,NA,42.37411697,-111.5536313,NA,78.81112944,42.37411697,-111.5536313,NA,78.81112944,0,0,1,1
2,EMIG,766,ABLA,NA,4.3,0,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,1,EMIG766,42.37415114,-111.5535933,EMIG,766,ABLA,NA,4.3,0,1,0,NA,0,-,-,0,-,0,-,0,-,0,-,0,-,0,-,NA,2,0,2503,766,NA,Point,2219.156,NA,0.173202256,EMIG_766_535,EMIG_767_536,1.568314008,EMIG_767_536,1.568314008,NA,42.37414938,-111.5536122,NA,-97.15826349,42.37414938,-111.5536122,NA,-97.15826349,0,0,2,3
2,EMIG,767,ABLA,2.1,11.5,0,1,1,NA,0,-,-,0,-,0,-,1,-,0,-,1,-,0,-,NA,1,EMIG767,42.37414938,-111.5536122,EMIG,767,ABLA,2.1,11.5,0,1,1,NA,0,-,-,0,-,0,-,1,-,0,-,1,-,1,-,NA,2,0,2504,767,NA,Point,2220.48,NA,0.17202352,EMIG_767_536,EMIG_769_538,1.07853361,EMIG_769_538,1.07853361,NA,42.37415874,-111.5536157,NA,-15.49664981,42.37415874,-111.5536157,NA,-15.49664981,2,3,4,7
