Site,Latitude,Longitude
Cox Springs,41.641488369999998,-111.492360899999994
Emigration Canyon,42.374197400000000,-111.553345399999998
Smith and Morehouse,40.770906810000000,-111.107047899999998
Franklin Basin,41.933613160000000,-111.571547499999994
Monte Cristo,41.409425530000000,-111.534032600000003
Mount Timpanogos,40.435154750000002,-111.639161000000001
Soapstone Basin,40.545479780000001,-111.029903200000007
Temple Fork,41.798309369999998,-111.519296299999993
