Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
3756,309,,Point,41.87048913,-111.514921,2610.997,-16.933
3755,308,,Point,41.87049032,-111.5149229,2608.288,-16.933
3754,307,,Point,41.87050825,-111.5149275,2609.113,-16.933
3753,306,,Point,41.87052581,-111.5150224,2611.491,-16.933
3752,305,,Point,41.87057673,-111.5149831,2614.227,-16.933
3751,304,,Point,41.87056748,-111.5149776,2612.67,-16.933
3750,303,,Point,41.87053919,-111.5149447,2618.186,-16.933
3749,302,,Point,41.87056629,-111.5149397,2609.107,-16.933
3748,301,,Point,41.87058395,-111.5149366,2612.053,-16.933
3747,300,,Point,41.8705931,-111.5149603,2614.14,-16.933
3746,299,,Point,41.87058397,-111.5150004,2611.616,-16.933
3745,298,,Point,41.87058997,-111.5149579,2613.235,-16.933
3744,297,,Point,41.87060457,-111.5149588,2611.921,-16.933
3743,296,,Point,41.87064534,-111.5149993,2617.011,-16.933
3742,295,,Point,41.87066102,-111.5149776,2606.458,-16.933
3741,294,,Point,41.87063817,-111.5149471,2610.915,-16.933
3740,293,,Point,41.87062254,-111.5149238,2602.139,-16.933
3739,292,,Point,41.87061387,-111.5149192,2605.371,-16.933
3738,291,,Point,41.870609,-111.5149308,2603.4,-16.933
3737,290,,Point,41.87063614,-111.5149512,2611.373,-16.933
3736,289,,Point,41.8706973,-111.5149309,2614.779,-16.933
3735,288,,Point,41.87067517,-111.5148973,2617.785,-16.933
3734,287,,Point,41.87068282,-111.5149026,2617.36,-16.933
,286,,,41.87068282,-111.5149026,2617.36,-16.933
3733,285,,Point,41.870682,-111.5149165,2606.925,-16.933
3732,284,,Point,41.8706887,-111.5149427,2606.094,-16.933
3731,283,,Point,41.87068051,-111.5149404,2604.332,-16.933
3730,282,,Point,41.87071571,-111.5149331,2607.213,-16.933
3729,281,,Point,41.8707189,-111.514942,2609.388,-16.933
3728,280,,Point,41.87074168,-111.5149368,2610.095,-16.933
3727,279,,Point,41.87073919,-111.5148458,2615.682,-16.933
3726,278,,Point,41.87073932,-111.5148787,2610.125,-16.933
3725,277,,Point,41.87074722,-111.5148586,2610.485,-16.933
3724,276,,Point,41.87075905,-111.5148495,2604.78,-16.933
3723,275,,Point,41.8707392,-111.5148504,2610.138,-16.933
3722,274,,Point,41.87075131,-111.5148587,2610.017,-16.933
3721,273,,Point,41.87078148,-111.5148676,2609.476,-16.933
3720,272,,Point,41.87076716,-111.5148959,2606.873,-16.933
3719,271,,Point,41.87074661,-111.5149351,2598.548,-16.933
3718,270,,Point,41.870722,-111.5148962,2602.926,-16.933
3717,269,,Point,41.87076586,-111.5149397,2607.025,-16.933
3716,268,,Point,41.87076888,-111.5149545,2604.252,-16.933
3715,267,,Point,41.87075011,-111.5149599,2603.157,-16.933
3714,266,,Point,41.87080829,-111.5149305,2608.05,-16.933
3713,265,,Point,41.87075872,-111.5148479,2613.544,-16.933
3712,264,,Point,41.870778,-111.5148518,2610.58,-16.933
3711,263,,Point,41.87080388,-111.514855,2606.92,-16.933
3710,262,,Point,41.87080216,-111.5148281,2607.168,-16.933
3709,261,,Point,41.87083089,-111.51486,2607.868,-16.933
3708,260,,Point,41.87083569,-111.5148699,2610.862,-16.933
3707,259,,Point,41.87083094,-111.5149372,2608.559,-16.933
3706,258,,Point,41.87085578,-111.5149281,2609.443,-16.933
3705,257,,Point,41.87086183,-111.5148972,2604.522,-16.933
3704,256,,Point,41.87086104,-111.5148719,2607.702,-16.933
3703,255,,Point,41.8708631,-111.5148672,2608.438,-16.933
3702,254,,Point,41.87083682,-111.5148412,2601.424,-16.933
3701,253,,Point,41.87081033,-111.5148313,2604.275,-16.933
,252,,,41.87081033,-111.5148313,2604.275,-16.933
,251,,,41.87081033,-111.5148313,2604.275,-16.933
3700,250,,Point,41.8708305,-111.5148302,2608.243,-16.933
,249,,,41.87085247,-111.5148088,2605.927,-16.933
3699,248,,Point,41.87085247,-111.5148088,2605.927,-16.933
3698,247,,Point,41.87085049,-111.5148124,2604.578,-16.933
3697,246,,Point,41.87086672,-111.5148765,2601.445,-16.933
3696,245,,Point,41.87090761,-111.5148589,2603.613,-16.933
3695,244,,Point,41.87088375,-111.5148323,2601.339,-16.933
3694,243,,Point,41.87087717,-111.5148118,2606.896,-16.933
3693,242,,Point,41.87086619,-111.5148146,2606.464,-16.933
,241,,,41.87089979,-111.5148487,2606.954,-16.933
3692,240,,Point,41.87089979,-111.5148487,2606.954,-16.933
3691,239,,Point,41.87093575,-111.5148253,2609.814,-16.933
3690,238,,Point,41.87093276,-111.5148252,2607.813,-16.933
3689,237,,Point,41.870076,-111.5149409,2619.962,-16.933
3688,236,,Point,41.87012122,-111.5149097,2618.724,-16.933
3687,235,,Point,41.87021931,-111.5149213,2622.204,-16.933
3686,234,,Point,41.87025116,-111.5149932,2629.726,-16.933
3685,233,,Point,41.8702477,-111.5149806,2618.45,-16.933
3684,232,,Point,41.87027958,-111.5149475,2617.188,-16.933
3683,231,,Point,41.8703125,-111.514941,2616.751,-16.933
3682,230,,Point,41.87031377,-111.51491,2614.103,-16.933
3681,229,,Point,41.87030693,-111.5149126,2615.096,-16.933
3680,228,,Point,41.87024222,-111.5149058,2621.483,-16.933
3679,227,,Point,41.87027806,-111.5148315,2619.367,-16.933
